17.1526 	EXP 	grating: autoDraw = False
17.2381 	DATA 	Keypress: right
17.2530 	EXP 	Device response: <KeyPress from None: t=17.23762320005335, value=right, duration=None>
17.2693 	EXP 	fixation: autoDraw = False
17.2693 	EXP 	grating: autoDraw = False
17.2693 	EXP 	grating: ori = np.float64(-6.5)
17.2693 	EXP 	fixation: autoDraw = True
17.4530 	EXP 	Device response: <KeyPress from None: t=17.23762320005335, value=right, duration=0.19856619997881353>
17.7524 	INFO 	Keyboard events cleared
17.7522 	EXP 	grating: autoDraw = True
17.7688 	EXP 	fixation: autoDraw = False
18.0521 	EXP 	grating: autoDraw = False
18.2028 	EXP 	Device response: <KeyPress from None: t=18.200126299983822, value=left, duration=None>
18.2045 	DATA 	Keypress: left
18.2185 	EXP 	fixation: autoDraw = False
18.2185 	EXP 	grating: autoDraw = False
18.2185 	EXP 	grating: ori = np.float64(6.0)
18.2185 	EXP 	fixation: autoDraw = True
18.3860 	EXP 	Device response: <KeyPress from None: t=18.200126299983822, value=left, duration=0.18309549998957664>
18.7185 	INFO 	Keyboard events cleared
18.7183 	EXP 	fixation: autoDraw = False
18.7183 	EXP 	grating: autoDraw = True
19.0179 	EXP 	grating: autoDraw = False
19.0352 	EXP 	Device response: <KeyPress from None: t=19.02993790002074, value=right, duration=None>
19.0367 	DATA 	Keypress: right
19.0512 	EXP 	fixation: autoDraw = False
19.0512 	EXP 	grating: autoDraw = False
19.0512 	EXP 	grating: ori = np.float64(6.0)
19.0512 	EXP 	fixation: autoDraw = True
19.2351 	EXP 	Device response: <KeyPress from None: t=19.02993790002074, value=right, duration=0.19020449998788536>
19.5350 	INFO 	Keyboard events cleared
19.5348 	EXP 	grating: autoDraw = True
19.5510 	EXP 	fixation: autoDraw = False
19.8341 	EXP 	grating: autoDraw = False
19.9192 	DATA 	Keypress: right
19.9347 	EXP 	Device response: <KeyPress from None: t=19.91865670005791, value=right, duration=None>
19.9507 	EXP 	fixation: autoDraw = False
19.9507 	EXP 	grating: autoDraw = False
19.9507 	EXP 	grating: ori = np.float64(6.0)
19.9507 	EXP 	fixation: autoDraw = True
20.1020 	EXP 	Device response: <KeyPress from None: t=19.91865670005791, value=right, duration=0.18129939993377775>
20.4339 	INFO 	Keyboard events cleared
20.4338 	EXP 	grating: autoDraw = True
20.4503 	EXP 	fixation: autoDraw = False
20.7337 	EXP 	grating: autoDraw = False
20.8008 	EXP 	Device response: <KeyPress from None: t=20.788706799969077, value=right, duration=None>
20.8023 	DATA 	Keypress: right
20.8169 	EXP 	fixation: autoDraw = False
20.8169 	EXP 	grating: autoDraw = False
20.8169 	EXP 	grating: ori = np.float64(5.5)
20.8169 	EXP 	fixation: autoDraw = True
21.0010 	EXP 	Device response: <KeyPress from None: t=20.788706799969077, value=right, duration=0.2046577000292018>
21.3168 	INFO 	Keyboard events cleared
21.3167 	EXP 	fixation: autoDraw = False
21.3167 	EXP 	grating: autoDraw = True
21.6164 	EXP 	grating: autoDraw = False
21.7003 	EXP 	Device response: <KeyPress from None: t=21.684845400042832, value=right, duration=None>
21.7019 	DATA 	Keypress: right
21.7164 	EXP 	fixation: autoDraw = False
21.7164 	EXP 	grating: autoDraw = False
21.7164 	EXP 	grating: ori = np.float64(5.5)
21.7164 	EXP 	fixation: autoDraw = True
21.9003 	EXP 	Device response: <KeyPress from None: t=21.684845400042832, value=right, duration=0.2072921999497339>
22.1997 	INFO 	Keyboard events cleared
22.1995 	EXP 	grating: autoDraw = True
22.2160 	EXP 	fixation: autoDraw = False
22.4993 	EXP 	grating: autoDraw = False
22.5830 	EXP 	Device response: <KeyPress from None: t=22.57837580004707, value=right, duration=None>
22.5845 	DATA 	Keypress: right
22.5989 	EXP 	fixation: autoDraw = False
22.5989 	EXP 	grating: autoDraw = False
22.5989 	EXP 	grating: ori = np.float64(5.5)
22.5989 	EXP 	fixation: autoDraw = True
22.7663 	EXP 	Device response: <KeyPress from None: t=22.57837580004707, value=right, duration=0.18731810001190752>
23.0991 	INFO 	Keyboard events cleared
23.0989 	EXP 	fixation: autoDraw = False
23.0989 	EXP 	grating: autoDraw = True
23.3987 	EXP 	grating: autoDraw = False
23.4658 	EXP 	Device response: <KeyPress from None: t=23.452839700039476, value=right, duration=None>
23.4674 	DATA 	Keypress: right
23.4818 	EXP 	fixation: autoDraw = False
23.4818 	EXP 	grating: autoDraw = False
